hotel,price,score,avg review,reviews count,address,date
Capsule Hotel - Lucerne Old Town,CHF 628,"Scored 9.0
9.0",Wonderful,"1,438","Old Town, Lucerne",2025-08-09
Hotel Restaurant Walliser Sonne,CHF 456,"Scored 7.0
7.0",Good,"1,352",Reckingen - Gluringen,2025-08-09
Swiss-Chalet Merlischachen - Romantik Schloss-Hotel am See,"CHF 1,501","Scored 8.6
8.6",Excellent,615,Küssnacht,2025-08-09
Garni Elisabetta,CHF 676,"Scored 8.1
8.1",Very Good,258,Gordola,2025-08-09
Neuchâtel City Hôtel,CHF 572,"Scored 7.0
7.0",Good,"2,833",Neuchâtel,2025-08-09
Zurich Youth Hostel,CHF 524,"Scored 8.4
8.4",Very Good,"4,149","Wollishofen, Zurich",2025-08-09
Everness Hotel & Resort,"CHF 1,122","Scored 8.4
8.4",Very Good,"1,609",Chavannes-de-Bogis,2025-08-09
Montreux Youth Hostel,CHF 481,"Scored 8.5
8.5",Very Good,894,Montreux,2025-08-09
Holiday Hotel YACHTSPORT RESORT Lago Maggiore,"CHF 1,474","Scored 9.4
9.4",Wonderful,151,Brissago,2025-08-09
B&B Bären,CHF 704,"Scored 9.0
9.0",Wonderful,410,Rüeggisberg,2025-08-09
Ferienwohnungen Romantica und Pacifica - ArtDaGio,"CHF 1,173","Scored 9.6
9.6",Exceptional,33,Cumpadials,2025-08-09
Bed and Breakfast Gantrisch Cottage Ferienzimmer,"CHF 1,120","Scored 9.2
9.2",Wonderful,174,Rüeggisberg,2025-08-09
Hotel Villa Post,"CHF 1,320","Scored 9.1
9.1",Wonderful,274,Vulpera,2025-08-09
Wohntel - wohnen wie im Hotel,CHF 840,"Scored 9.0
9.0",Wonderful,53,Sevelen,2025-08-09
Villmergen Swiss Quality Hotel,CHF 785,"Scored 8.5
8.5",Very Good,923,Villmergen,2025-08-09
